campus,bldgno,bldgname,tstamp,Year,Month,Day,Hour,KW,KWS,CHWTON,HTmmBTU,Combined mmBTU,Combined Tons Carbon,KW#Houses,KWlightbulbs,KWgalsgas,CHWTON#Houses,CHWTONlightbulbs,CHWTONgalsgas,HTmmBTU#Houses,HTmmBTUlightbulbs,HTmmBTUgalsgas,Total#Houses,Totallightbulbs,Totalgalsgas,GHG,DOW,tstamp2,total
All Campuses,, , ,2018,8,2, ,860648.59,97229.66,406699.43,114.45,7931.5,1449.64,245900,61474924,23493,408658,102138495,39043,9584,2395288,916,664141,166008707,3336217,427.865,5,2018-08-02T00:00:00.000,7931.5
All Campuses,, , ,2018,8,3, ,876491.5,108599.69,422844.69,113.87,8178.72,1494.82,250426,62606561,23926,424881,106193215,40593,9535,2383212,911,684842,171182988,3466899,431.438,6,2018-08-03T00:00:00.000,8178.72
All Campuses,, , ,2018,8,4, ,847279.06,111064.32,405633.3,110.63,7869.26,1438.26,242080,60519957,23128,407586,101870747,38941,9263,2315224,885,658929,164705928,3326404,415.146,7,2018-08-04T00:00:00.000,7869.26
All Campuses,, , ,2018,8,5, ,802545.62,109991.74,388088.84,109.45,7504.92,1371.67,229299,57324710,21907,389958,97464630,37257,9165,2290639,876,628421,157079979,3181754,391.354,1,2018-08-05T00:00:00.000,7504.92
All Campuses,, , ,2018,8,6, ,837498.6,108721.3,403282.47,108.38,7805.43,1426.59,239285,59821352,22861,405224,101280359,38715,9075,2268205,867,653585,163369916,3306658,409.81,2,2018-08-06T00:00:00.000,7805.43
All Campuses,, , ,2018,8,7, ,905088.03,107831.55,444283.19,108.08,8527.77,1558.61,258597,64649171,24706,446422,111577281,42651,9050,2261984,865,714069,178488435,3641151,447.695,3,2018-08-07T00:00:00.000,8527.77
All Campuses,, , ,2018,8,8, ,880571.94,92635.78,421989.83,119.85,8188.36,1496.58,251592,62898021,24037,424022,105978526,40511,10036,2508270,959,685649,171384816,3460452,441.577,4,2018-08-08T00:00:00.000,8188.36
All Campuses,, , ,2018,8,9, ,872013.15,100154.7,408717.63,123.98,8004.02,1462.89,249147,62286678,23803,410686,102645345,39237,10381,2594681,992,670214,167526704,3353454,431.85,5,2018-08-09T00:00:00.000,8004.02
All Campuses,, , ,2018,8,10, ,841554.06,94713.33,382920,131.92,7598.46,1388.77,240444,60111028,22972,384764,96166529,36760,11046,2760899,1055,636254,159038455,3144150,419,6,2018-08-10T00:00:00.000,7598.46
All Campuses,, , ,2018,8,11, ,781574.89,109113.94,341706.89,134.86,6902.19,1261.52,223307,55826800,21335,343352,85816268,32804,11293,2822506,1079,577952,144465574,2808689,378.19,7,2018-08-11T00:00:00.000,6902.19
All Campuses,, , ,2018,8,12, ,813451.12,109901.5,374244.22,127.63,7394.17,1351.43,232415,58103675,22205,376046,93987692,35927,10687,2671046,1021,619148,154762413,3072046,396.71,1,2018-08-12T00:00:00.000,7394.17
All Campuses,, , ,2018,8,13, ,878364.6,109235.13,403544.38,126.28,7965.92,1455.93,250961,62740354,23977,405487,101346136,38740,10574,2642923,1010,667023,166729413,3312678,418.183,2,2018-08-13T00:00:00.000,7965.92
All Campuses,, , ,2018,8,14, ,942157.52,102456.66,426260.69,128,8457.91,1545.85,269188,67296992,25718,428313,107051109,40921,10718,2678899,1024,708219,177026999,3500532,455.972,3,2018-08-14T00:00:00.000,8457.91
All Campuses,, , ,2018,8,15, ,909347.98,71784.13,393332.81,133.38,7956.2,1454.16,259814,64953453,24822,395227,98781601,37760,11169,2791439,1067,666209,166526494,3233961,454.798,4,2018-08-15T00:00:00.000,7956.2
All Campuses,, , ,2018,8,16, ,950698.8,84336.7,435503.63,131.84,8601.81,1572.15,271628,67907084,25951,437601,109372382,41808,11040,2759255,1055,720269,180038720,3575296,470.436,5,2018-08-16T00:00:00.000,8601.81
All Campuses,, , ,2018,8,17, ,957952.36,108294.58,449082.91,132.89,8790.56,1606.65,273701,68425196,26149,451245,112782681,43112,11128,2781271,1063,736074,183989148,3684626,461.385,6,2018-08-17T00:00:00.000,8790.56
All Campuses,, , ,2018,8,18, ,942672.12,107460.82,428908.71,132.52,8495.95,1552.81,269335,67333750,25732,430974,107716132,41175,11096,2773351,1060,711405,177823233,3521766,453.54,7,2018-08-18T00:00:00.000,8495.95
All Campuses,, , ,2018,8,19, ,880321.99,109404.31,405330.14,130.07,7997.81,1461.76,251521,62880167,24030,407282,101794610,38912,10891,2722101,1041,669694,167396879,3327152,418.594,1,2018-08-19T00:00:00.000,7997.81
All Campuses,, , ,2018,8,20, ,960866.25,105495.12,461891.09,126.96,8948.26,1635.47,274533,68633331,26229,464115,115999329,44342,10631,2656995,1016,749279,187289655,3787370,464.465,2,2018-08-20T00:00:00.000,8948.26
All Campuses,, , ,2018,8,21, ,964620.71,100789.47,437773.53,125.52,8670.22,1584.66,275606,68901507,26331,439881,109942443,42026,10510,2626830,1004,725997,181470781,3594791,469.072,3,2018-08-21T00:00:00.000,8670.22
All Campuses,, , ,2018,8,22, ,971435.86,89881.81,449214.03,119.52,8824.76,1612.9,277553,69388303,26517,451377,112815611,43125,10008,2501292,956,738938,184705206,3686968,478.688,4,2018-08-22T00:00:00.000,8824.76
All Campuses,, , ,2018,8,23, ,972187.97,96157.7,447432.97,125.64,8812.08,1610.58,277768,69442026,26538,449587,112368315,42954,10520,2629396,1005,737876,184439737,3672792,475.695,5,2018-08-23T00:00:00.000,8812.08
All Campuses,, , ,2018,8,24, ,940099.72,106330.42,426140.56,129.2,8450.64,1544.53,268600,67150007,25662,428192,107020940,40909,10819,2704009,1034,707611,176874955,3499374,452.748,6,2018-08-24T00:00:00.000,8450.64
All Campuses,, , ,2018,8,25, ,870665.85,92644.5,375904.57,126.75,7608.44,1390.6,248762,62190443,23767,377715,94404674,36087,10613,2652613,1014,637089,159247730,3090821,422.468,7,2018-08-25T00:00:00.000,7608.44
All Campuses,, , ,2018,8,26, ,844443.86,104399.77,384618.49,123.04,7619.82,1392.68,241270,60317443,23051,386470,96593087,36923,10302,2574970,984,638043,159485500,3158015,401.834,1,2018-08-26T00:00:00.000,7619.82
All Campuses,, , ,2018,8,27, ,861042.54,109830.04,372377.59,121.44,7527.97,1375.89,246012,61503063,23504,374171,93518908,35748,10169,2541511,972,630351,157563482,3061681,407.915,2,2018-08-27T00:00:00.000,7527.97
All Campuses,, , ,2018,8,28, ,835892.86,103439.51,336238.72,119.07,7006.12,1280.52,238827,59706657,22817,337858,84442991,32279,9970,2491878,953,586654,146641526,2770157,397.708,3,2018-08-28T00:00:00.000,7006.12
All Campuses,, , ,2018,8,29, ,864453.67,100133.78,352681.83,113.18,7295,1333.32,246987,61746715,23597,354380,88572516,33857,9477,2368733,905,610844,152687964,2904443,415.015,4,2018-08-29T00:00:00.000,7295
All Campuses,, , ,2018,8,30, ,916404.78,89354.49,389389.67,112.94,7912.52,1446.18,261830,65457510,25015,391265,97791322,37381,9457,2363710,904,662552,165612542,3203091,449.07,5,2018-08-30T00:00:00.000,7912.52
All Campuses,, , ,2018,8,31, ,922723.66,105326.17,400481.52,117.08,8071.33,1475.2,263635,65908859,25188,402410,100576930,38446,9804,2450390,937,675849,168936179,3292433,443.831,6,2018-08-31T00:00:00.000,8071.33
All Campuses,, , ,2018,9,1, ,844870.65,95993.95,353836.01,113.71,7242.56,1323.73,241392,60347928,23062,355540,88862376,33968,9521,2379734,910,606453,151590038,2911796,406.651,7,2018-09-01T00:00:00.000,7242.56
All Campuses,, , ,2018,9,2, ,786718.27,100103.38,337268.96,116.41,6848.03,1251.62,224777,56194184,21475,338893,84701728,32378,9747,2436174,931,573417,143332086,2773678,372.818,1,2018-09-02T00:00:00.000,6848.03
All Campuses,, , ,2018,9,3, ,790622.94,106053.19,349805.17,122.96,7018.34,1282.75,225892,56473090,21582,351490,87850070,33581,10296,2573431,984,587678,146896590,2874342,371.723,2,2018-09-03T00:00:00.000,7018.34
All Campuses,, , ,2018,9,4, ,864484.97,101539.97,356808.26,118.4,7349.84,1343.34,246996,61748951,23598,358526,89608825,34254,9914,2477835,947,615436,153835612,2937457,414.282,3,2018-09-04T00:00:00.000,7349.84
All Campuses,, , ,2018,9,5, ,886819.65,94463.34,363567.36,114.68,7503.44,1371.41,253377,63344286,24208,365318,91306308,34902,9603,2400087,917,628298,157050680,2993674,430.259,4,2018-09-05T00:00:00.000,7503.44
All Campuses,, , ,2018,9,6, ,882896.97,99910.64,359919.57,116.65,7448.26,1361.33,252256,63064095,24100,361653,90390202,34552,9768,2441381,933,623677,155895677,2964115,425.169,5,2018-09-06T00:00:00.000,7448.26
All Campuses,, , ,2018,9,7, ,872016.21,99783.2,357730.46,114.31,7382.52,1349.31,249147,62286897,23803,359453,89840428,34342,9572,2392306,914,618172,154519631,2945557,419.345,6,2018-09-07T00:00:00.000,7382.52
All Campuses,, , ,2018,9,8, ,834479.08,99471.52,337355.27,109.3,7004.93,1280.3,238423,59605672,22779,338980,84723402,32386,9152,2287495,874,586555,146616569,2778952,399.098,7,2018-09-08T00:00:00.000,7004.93
All Campuses,, , ,2018,9,9, ,812058.96,95268.35,346577.66,111.34,7041.13,1286.91,232017,58004234,22167,348246,87039515,33271,9323,2330158,891,589586,147373906,2850579,389.196,1,2018-09-09T00:00:00.000,7041.13
All Campuses,, , ,2018,9,10, ,908203.38,101787.29,404505.1,111.36,8064.34,1473.92,259487,64871696,24791,406453,101587412,38832,9325,2330641,891,675264,168789748,3323227,437.904,2,2018-09-10T00:00:00.000,8064.34
All Campuses,, , ,2018,9,11, ,883749.52,97952.51,362197.22,109.91,7471.75,1365.62,252500,63124991,24124,363941,90962209,34771,9203,2300135,879,625644,156387336,2982417,426.693,3,2018-09-11T00:00:00.000,7471.75
All Campuses,, , ,2018,9,12, ,855739.65,97309.31,334268.96,113.23,7044.36,1287.51,244497,61124285,23359,335878,83948306,32090,9481,2369648,906,589857,147442239,2756304,411.838,4,2018-09-12T00:00:00.000,7044.36
All Campuses,, , ,2018,9,13, ,846282.27,94067.93,319560.7,114.93,6837.29,1249.67,241795,60448758,23101,321099,80254475,30678,9624,2405325,919,572518,143108558,2637730,408.466,5,2018-09-13T00:00:00.000,6837.29
All Campuses,, , ,2018,9,14, ,838925.54,93944.43,327139.7,110.03,6898.24,1260.81,239693,59923277,22900,328715,82157865,31405,9213,2302745,880,577621,144383887,2697655,404.529,6,2018-09-14T00:00:00.000,6898.24
All Campuses,, , ,2018,9,15, ,820550.83,90264.31,317988.61,102.42,6718.12,1227.88,234443,58610797,22399,319520,79859659,30527,8576,2143397,819,562539,140613854,2622682,396.552,7,2018-09-15T00:00:00.000,6718.12
All Campuses,, , ,2018,9,16, ,848743.1,100713.45,369733.56,108.66,7441.5,1360.09,242498,60624531,23168,371514,92854885,35494,9099,2274106,869,623111,155753522,3039347,406.19,1,2018-09-16T00:00:00.000,7441.5
All Campuses,, , ,2018,9,17, ,904673.84,94991.59,402007.26,109.43,8020.4,1465.89,258478,64619586,24695,403943,100960104,38593,9163,2290258,875,671585,167869948,3302905,439.652,2,2018-09-17T00:00:00.000,8020.4
All Campuses,, , ,2018,9,18, ,926331.57,97030.48,394874.11,113.45,8012.72,1464.49,264666,66166567,25286,396775,99168683,37908,9500,2374418,908,670942,167709669,3247920,450.314,3,2018-09-18T00:00:00.000,8012.72
All Campuses,, , ,2018,9,19, ,955144.09,14525.37,420077.76,125.54,8425.56,1539.94,272898,68224605,26073,422100,105498328,40327,10512,2627292,1004,705511,176350224,3452315,510.768,4,2018-09-19T00:00:00.000,8425.56
All Campuses,, , ,2018,9,20, ,910790.05,112357.49,383796.34,127.54,7840.84,1433.08,260226,65056458,24862,385644,96386613,36844,10680,2669262,1020,656550,164112333,3157807,433.543,5,2018-09-20T00:00:00.000,7840.84
All Campuses,, , ,2018,9,21, ,883335.85,102211.73,370500.18,123.87,7583.94,1386.13,252382,63095443,24112,372284,93047416,35568,10373,2592502,991,635038,158735362,3048802,424.158,6,2018-09-21T00:00:00.000,7583.94
All Campuses,, , ,2018,9,22, ,800129.79,102590.06,315247.78,121.31,6634.44,1212.59,228609,57152150,21841,316766,79171327,30264,10158,2538848,970,555532,138862325,2598797,378.753,7,2018-09-22T00:00:00.000,6634.44
All Campuses,, , ,2018,9,23, ,728310.18,102380.78,282487.29,119.75,5994.7,1095.66,208089,52022176,19881,283847,70943857,27119,10027,2506219,958,501964,125472253,2329819,339.859,1,2018-09-23T00:00:00.000,5994.7
All Campuses,, , ,2018,9,24, ,834175.14,89848.19,343552.92,116.3,7085.26,1294.98,238336,59583962,22770,345207,86279879,32981,9739,2434048,930,593282,148297889,2828505,404.143,2,2018-09-24T00:00:00.000,7085.26
All Campuses,, , ,2018,9,25, ,838369.62,98494.48,320290.98,117.41,6821.54,1246.79,239534,59883568,22885,321833,80437877,30748,9831,2457157,939,571198,142778602,2642813,401.872,3,2018-09-25T00:00:00.000,6821.54
All Campuses,, , ,2018,9,26, ,837821.44,97255.21,326341.76,122.03,6896.89,1260.56,239378,59844412,22870,327913,81957469,31329,10218,2553846,976,577509,144355727,2691167,402.151,4,2018-09-26T00:00:00.000,6896.89
All Campuses,, , ,2018,9,27, ,846368.26,103274.39,325275.12,120.39,6911.62,1263.25,241820,60454900,23103,326841,81689593,31226,10080,2519465,963,578741,144663958,2683454,403.488,5,2018-09-27T00:00:00.000,6911.62
All Campuses,, , ,2018,9,28, ,816600.93,105063.26,314895.23,119.63,6684.73,1221.78,233315,58328661,22291,316411,79082789,30230,10017,2503657,957,559743,139915107,2597558,386.35,6,2018-09-28T00:00:00.000,6684.73
All Campuses,, , ,2018,9,29, ,762800.88,104561.21,305793.61,119.75,6392.06,1168.29,217943,54485799,20822,307266,76797006,29356,10027,2506160,958,535236,133788965,2519580,357.417,7,2018-09-29T00:00:00.000,6392.06
All Campuses,, , ,2018,9,30, ,750206.32,62142.58,304385.41,125.45,6337.89,1158.39,214345,53586187,20478,305851,76443351,29221,10505,2625558,1004,530701,132655096,2507106,373.634,1,2018-09-30T00:00:00.000,6337.89
All Campuses,, , ,2018,10,1, ,851552.79,22311.12,359666.33,140.1,7361.72,1345.51,243301,60825223,23245,361398,90326602,34528,11731,2932133,1121,616430,154083959,2959082,450.269,2,2018-10-01T00:00:00.000,7361.72
All Campuses,, , ,2018,10,2, ,864133.59,25700.57,362072.09,140.52,7433.94,1358.71,246895,61723852,23588,363815,90930785,34759,11767,2940947,1124,622478,155595584,2979536,455.7,3,2018-10-02T00:00:00.000,7433.94
All Campuses,, , ,2018,10,3, ,872801.43,63333.3,366043.18,136.12,7506.76,1372.02,249372,62342984,23825,367806,91928083,35140,11398,2848692,1089,628575,157119760,3012136,439.545,4,2018-10-03T00:00:00.000,7506.76
All Campuses,, , ,2018,10,4, ,823505.16,103401.93,304664.3,145.68,6611.56,1208.41,235287,58821821,22479,306131,76513393,29248,12198,3048748,1165,553617,138383962,2516376,391.034,5,2018-10-04T00:00:00.000,6611.56
All Campuses,, , ,2018,10,5, ,738748.64,98769.25,249299.72,148.1,5660.41,1034.57,211071,52767781,20166,250500,62609131,23933,12401,3099398,1185,473972,118476310,2065324,347.524,6,2018-10-05T00:00:00.000,5660.41
All Campuses,, , ,2018,10,6, ,675799.55,91294.54,213544.87,144.13,5012.6,916.17,193086,48271415,18447,214573,53629658,20500,12069,3016476,1153,419728,104917549,1773243,317.391,7,2018-10-06T00:00:00.000,5012.6
All Campuses,, , ,2018,10,7, ,606866.13,72203.71,167190.31,158.61,4235.6,774.17,173390,43347598,16566,167995,41988174,16050,13281,3319356,1269,354666,88655128,1395792,290.332,1,2018-10-07T00:00:00.000,4235.6
All Campuses,, , ,2018,10,8, ,621523.7,107653.14,177723.92,177.48,4430.89,809.86,177578,44394568,16966,178580,44633585,17061,14861,3714288,1420,371019,92742442,1481469,279.03,2,2018-10-08T00:00:00.000,4430.89
All Campuses,, , ,2018,10,9, ,640801.25,108679.68,173625.9,164.01,4434.03,810.43,183086,45771536,17492,174462,43604408,16668,13733,3432459,1312,371281,92808403,1450535,288.924,3,2018-10-09T00:00:00.000,4434.03
All Campuses,, , ,2018,10,10, ,665694.99,102701.69,177660.17,158.51,4561.88,833.8,190199,47549662,18171,178516,44617576,17055,13273,3317399,1268,381987,95484636,1485198,305.664,4,2018-10-10T00:00:00.000,4561.88
All Campuses,, , ,2018,10,11, ,709902.36,72232.81,216226.56,147.02,5164.03,943.85,202829,50707332,19378,217268,54303139,20758,12311,3076894,1176,432408,108087365,1797971,346.271,5,2018-10-11T00:00:00.000,5164.03
All Campuses,, , ,2018,10,12, ,728308.38,62522.21,233431.02,149.28,5435.54,993.48,208088,52022048,19881,234555,58623865,22409,12500,3124121,1194,455143,113770034,1937373,361.504,6,2018-10-12T00:00:00.000,5435.54
All Campuses,, , ,2018,10,13, ,669568.68,13477.17,199715.21,167.07,4848.31,886.15,191305,47826354,18277,200677,50156479,19173,13989,3496407,1337,405971,101479239,1662010,356.247,7,2018-10-13T00:00:00.000,4848.31
All Campuses,, , ,2018,10,14, ,604156.9,81853.18,182479.25,159.9,4411.12,806.24,172616,43154081,16492,183358,45827839,17518,13389,3346522,1279,369364,92328443,1517843,283.589,1,2018-10-14T00:00:00.000,4411.12
All Campuses,, , ,2018,10,15, ,646841.29,95012.2,173227.07,162.86,4448.7,813.12,184812,46202968,17657,174061,43504247,16630,13637,3408385,1303,372510,93115599,1447924,299.627,2,2018-10-15T00:00:00.000,4448.7
All Campuses,, , ,2018,10,16, ,638291.23,60817.67,132884.04,180.94,3953.49,722.62,182369,45592249,17423,133524,33372499,12757,15151,3786816,1448,331044,82751564,1124362,313.561,3,2018-10-16T00:00:00.000,3953.49
All Campuses,, , ,2018,10,17, ,645092.4,100559.1,147477.59,183.6,4154.47,759.35,184312,46078047,17609,148188,37037522,14158,15373,3842366,1469,347873,86957935,1241763,295.694,4,2018-10-17T00:00:00.000,4154.47
All Campuses,, , ,2018,10,18, ,660994.92,98030.15,166780.62,171.62,4428.4,809.41,188856,47213942,18043,167584,41885284,16011,14371,3591772,1373,370810,92690998,1397712,305.674,5,2018-10-18T00:00:00.000,4428.4
All Campuses,, , ,2018,10,19, ,665748.63,99623.29,189967.29,165.3,4716.54,862.07,190214,47553493,18173,190882,47708384,18237,13841,3459443,1322,394937,98721320,1583660,307.405,6,2018-10-19T00:00:00.000,4716.54
All Campuses,, , ,2018,10,20, ,687071.82,83940.31,222055.42,149.74,5158.8,942.89,196306,49076579,18755,223125,55766997,21317,12539,3133907,1198,431970,107977483,1842410,327.485,7,2018-10-20T00:00:00.000,5158.8
All Campuses,, , ,2018,10,21, ,658681.68,75394.67,221813.14,149.47,5058.74,924.6,188195,47048710,17980,222881,55706151,21294,12515,3128081,1196,423591,105882942,1837746,316.731,1,2018-10-21T00:00:00.000,5058.74
All Campuses,, , ,2018,10,22, ,715650.35,73823.87,245203.9,151.99,5536.34,1011.89,204472,51117903,19535,246385,61580506,23540,12727,3180876,1216,463583,115879285,2030341,348.519,2,2018-10-22T00:00:00.000,5536.34
All Campuses,, , ,2018,10,23, ,744753.76,53825.95,251695.8,148.37,5709.92,1043.62,212787,53196719,20330,252908,63210884,24163,12423,3105067,1187,478118,119512670,2085069,375.176,3,2018-10-23T00:00:00.000,5709.92
All Campuses,, , ,2018,10,24, ,705237.59,79287.09,222506.73,165.95,5242.4,958.18,201496,50374134,19251,223578,55880340,21361,13895,3472984,1328,438970,109727459,1847766,339.904,4,2018-10-24T00:00:00.000,5242.4
All Campuses,, , ,2018,10,25, ,717456.64,82390.83,228071.66,167.2,5352.13,978.23,204988,51246923,19584,229170,57277917,21895,14001,3499327,1338,448158,112024167,1893458,344.851,5,2018-10-25T00:00:00.000,5352.13
All Campuses,, , ,2018,10,26, ,690051.31,82474.7,214289.25,167.02,5093.04,930.88,197158,49289399,18836,215321,53816603,20572,13985,3495454,1336,426464,106601456,1780569,329.917,6,2018-10-26T00:00:00.000,5093.04
All Campuses,, , ,2018,10,27, ,637118.48,92110.41,179607.51,163.15,4492.38,821.1,182034,45508481,17391,180472,45106630,17242,13661,3414394,1305,376167,94029505,1498034,295.864,7,2018-10-27T00:00:00.000,4492.38
All Campuses,, , ,2018,10,28, ,605176.17,75778.81,187071.07,158,4467.8,816.6,172907,43226887,16519,187972,46981028,17959,13230,3306651,1264,374109,93514565,1554675,287.465,1,2018-10-28T00:00:00.000,4467.8
All Campuses,, , ,2018,10,29, ,660341.79,64660.82,217957.95,160.89,5029.57,919.27,188669,47167290,18025,219007,54737960,20924,13472,3367191,1287,421149,105272441,1807065,323.446,2,2018-10-29T00:00:00.000,5029.57
All Campuses,, , ,2018,10,30, ,685725.83,76084.28,213061.75,163.81,5060.35,924.9,195922,48980436,18718,214088,53508328,20454,13717,3428333,1310,423726,105917097,1770333,331.021,3,2018-10-30T00:00:00.000,5060.35
All Campuses,, , ,2018,10,31, ,634270.68,74262.6,154054.2,195.65,4208.52,769.22,181220,45305067,17314,154796,38689173,14789,16382,4094580,1565,352399,88088819,1293338,304.079,4,2018-10-31T00:00:00.000,4208.52
All Campuses,, , ,2018,11,1, ,637714.96,74975.28,147592.55,198.21,4145.3,757.67,182204,45551087,17408,148303,37066394,14169,16597,4148292,1586,347105,86765772,1241976,305.577,5,2018-11-01T00:00:00.000,4145.3
All Campuses,, , ,2018,11,2, ,630881.37,74729.1,154964.27,188.23,4200.46,767.75,180252,45062973,17221,155710,38917728,14877,15762,3939407,1506,351724,87920108,1300292,301.985,6,2018-11-02T00:00:00.000,4200.46
All Campuses,, , ,2018,11,3, ,599530.17,67854.97,148946.26,177.56,4010.6,733.05,171294,42823600,16365,149663,37406365,14299,14868,3716037,1420,335826,83946002,1249138,288.693,7,2018-11-03T00:00:00.000,4010.6
All Campuses,, , ,2018,11,4, ,580873.83,58349.37,148400.51,176.9,3939.74,720.09,165964,41491004,15856,149115,37269304,14246,14813,3702335,1415,329892,82462643,1242980,283.729,1,2018-11-04T00:00:00.000,3939.74
All Campuses,, , ,2018,11,5, ,635802.47,72957.55,165180.73,181.79,4333.41,792.05,181658,45414480,17356,165976,41483490,15857,15222,3804596,1454,362856,90702566,1382495,305.615,2,2018-11-05T00:00:00.000,4333.41
All Campuses,, , ,2018,11,6, ,663018.74,71791.51,174297.14,177.75,4531.63,828.28,189434,47358501,18098,175136,43772983,16733,14884,3720093,1422,379454,94851577,1458039,321.022,3,2018-11-06T00:00:00.000,4531.63
All Campuses,, , ,2018,11,7, ,656942.98,71327.88,172123.33,175.31,4482.37,819.27,187698,46924517,17933,172952,43227054,16524,14679,3668883,1402,375329,93820454,1440065,318,4,2018-11-07T00:00:00.000,4482.37
All Campuses,, , ,2018,11,8, ,656140.07,69182.66,169399.87,176.96,4448.6,813.1,187469,46867167,17911,170216,42543085,16262,14817,3703408,1416,372501,93113660,1418200,318.715,5,2018-11-08T00:00:00.000,4448.6
All Campuses,, , ,2018,11,9, ,631471.92,74286.05,159149.08,214.11,4278.57,782.02,180421,45105155,17237,159915,39968699,15278,17928,4480925,1713,358264,89554780,1333830,302.544,6,2018-11-09T00:00:00.000,4278.57
All Campuses,, , ,2018,11,10, ,600687.11,72512.86,151175.72,181.46,4045.2,739.37,171625,42906239,16397,151904,37966270,14513,15194,3797670,1452,338723,84670180,1267085,286.787,7,2018-11-10T00:00:00.000,4045.2
All Campuses,, , ,2018,11,11, ,549126.22,71876.61,121701.66,210.34,3544.45,647.85,156893,39223317,14989,122288,30564155,11683,17612,4402018,1683,296793,74189490,1026346,259.143,1,2018-11-11T00:00:00.000,3544.45
All Campuses,, , ,2018,11,12, ,546653.33,78591.23,106499.6,253.06,3396.32,620.78,156187,39046682,14922,107012,26746310,10224,21190,5296220,2025,284389,71089212,904497,254.151,2,2018-11-12T00:00:00.000,3396.32
All Campuses,, , ,2018,11,13, ,555883.22,76772.67,102532.96,256.94,3384.09,618.54,158824,39705960,15174,103027,25750129,9843,21515,5377287,2055,283365,70833376,873650,260.154,3,2018-11-13T00:00:00.000,3384.09
All Campuses,, , ,2018,11,14, ,495064.6,35634.08,105473.95,255.98,3210.89,586.88,141447,35361771,13514,105982,26488728,10125,21434,5357150,2048,268863,67207648,891339,249.485,4,2018-11-14T00:00:00.000,3210.89
All Campuses,, , ,2018,11,15, ,675705.66,236110.72,122806.5,238.69,4017.97,734.41,193059,48264710,18445,123398,30841625,11789,19986,4995293,1909,336443,84101628,1047339,238.675,5,2018-11-15T00:00:00.000,4017.97
All Campuses,, , ,2018,11,16, ,503852.26,69665.93,124185.19,237.37,3446.8,629.99,143958,35989461,13754,124783,31187868,11922,19876,4967716,1899,288617,72145045,1041870,235.765,6,2018-11-16T00:00:00.000,3446.8
All Campuses,, , ,2018,11,17, ,463841.16,68663.65,111094.16,224.59,3140.41,573.99,132526,33131524,12661,111629,27900188,10665,18806,4700261,1797,262961,65731973,933300,214.584,7,2018-11-17T00:00:00.000,3140.41
All Campuses,, , ,2018,11,18, ,501408.91,66427.57,108845.24,222.35,3239.38,592.09,143260,35814936,13687,109369,27335392,10449,18619,4653509,1779,271248,67803838,918915,236.19,1,2018-11-18T00:00:00.000,3239.38
All Campuses,, , ,2018,11,19, ,596689.54,66052.46,120809.05,232,3717.69,679.52,170483,42620698,16288,121391,30339985,11598,19426,4855305,1856,311300,77815988,1023773,288.132,2,2018-11-19T00:00:00.000,3717.69
All Campuses,, , ,2018,11,20, ,623697.42,47638.45,134055.41,223.58,3960.39,723.87,178199,44549834,17025,134701,33666676,12869,18721,4679160,1789,331622,82895670,1132336,312.813,3,2018-11-20T00:00:00.000,3960.39
All Campuses,, , ,2018,11,21, ,602221.78,63068.13,119745.34,214.67,3706.48,677.47,172063,43015858,16439,120322,30072845,11496,17975,4492650,1717,310360,77581353,1015793,292.762,4,2018-11-21T00:00:00.000,3706.48
All Campuses,, , ,2018,11,22, ,544727.12,19524.2,96658.11,210.45,3229.04,590.21,155636,38909096,14869,97124,24274719,9279,17622,4404446,1684,270382,67588260,825576,285.177,5,2018-11-22T00:00:00.000,3229.04
All Campuses,, , ,2018,11,23, ,540141.56,61446.13,98134.62,210.49,3231.14,590.59,154326,38581555,14744,98607,24645529,9421,17625,4405143,1684,270558,67632227,836948,259.945,6,2018-11-23T00:00:00.000,3231.14
All Campuses,, , ,2018,11,24, ,546694.7,64159,94420.69,209.7,3208.15,586.39,156198,39049637,14923,94875,23712813,9064,17559,4388667,1678,268633,67151117,807866,262.03,7,2018-11-24T00:00:00.000,3208.15
All Campuses,, , ,2018,11,25, ,539526.51,64742.04,107836.98,221.92,3356.9,613.57,154150,38537623,14727,108356,27082179,10352,18582,4644383,1775,281089,70264186,914508,257.806,1,2018-11-25T00:00:00.000,3356.9
All Campuses,, , ,2018,11,26, ,604418.73,60118.63,134631.99,228.78,3906.73,714.06,172691,43172784,16499,135280,33811479,12925,19157,4788021,1830,327128,81772284,1135098,295.56,2,2018-11-26T00:00:00.000,3906.73
All Campuses,, , ,2018,11,27, ,623644.88,57921.52,139840.3,232.9,4038.95,738.23,178184,44546081,17024,140514,35119493,13425,19502,4874250,1863,338200,84539824,1178610,307.1,3,2018-11-27T00:00:00.000,4038.95
All Campuses,, , ,2018,11,28, ,621359.9,60971.99,137375.49,233.66,4002.34,731.54,177531,44382868,16961,138037,34500482,13188,19566,4890170,1869,335134,83773519,1158673,304.299,4,2018-11-28T00:00:00.000,4002.34
All Campuses,, , ,2018,11,29, ,608258.86,20248.03,120191.76,238.02,3755.79,686.48,173788,43447079,16604,120770,30184958,11538,19930,4981369,1904,314489,78613405,1019946,319.287,5,2018-11-29T00:00:00.000,3755.79
All Campuses,, , ,2018,11,30, ,593062.72,37435.44,111780.08,240.78,3605.76,659.06,169446,42361640,16189,112318,28072449,10731,20162,5039162,1926,301927,75473250,951194,301.715,6,2018-11-30T00:00:00.000,3605.76
