campus,bldgno,bldgname,tstamp,Year,Month,Day,Hour,KW,KWS,CHWTON,HTmmBTU,Combined mmBTU,Combined Tons Carbon,KW#Houses,KWlightbulbs,KWgalsgas,CHWTON#Houses,CHWTONlightbulbs,CHWTONgalsgas,HTmmBTU#Houses,HTmmBTUlightbulbs,HTmmBTUgalsgas,Total#Houses,Totallightbulbs,Totalgalsgas,GHG,DOW,tstamp2
Tempe,, , ,2021,1,1, ,314088.63,40215.99,53915.23,262.53,1981.23,362.13,89740,22434911,8574,54175,13540270,5176,21983,5494389,2100,165898,41469570,461498,148.707,6,2021-01-01T00:00:00.000
Tempe,, , ,2021,1,2, ,298731.38,35060.65,50213.57,278.18,1900.05,347.29,85352,21337964,8154,50455,12610636,4821,23293,5821766,2225,159100,39770366,430412,143.162,7,2021-01-02T00:00:00.000
Tempe,, , ,2021,1,3, ,300096.58,34414.52,49970.61,277.3,1900.92,347.45,85742,21435478,8192,50211,12549620,4797,23220,5803546,2218,159173,39788645,428599,144.269,1,2021-01-03T00:00:00.000
Tempe,, , ,2021,1,4, ,328264.6,45029.04,60280.51,275.96,2119.41,387.38,93790,23447481,8961,60571,15138847,5787,23108,5775455,2208,177468,44361782,513782,153.799,2,2021-01-04T00:00:00.000
Tempe,, , ,2021,1,5, ,319471.93,45436.03,65211.07,260.25,2132.86,389.84,91278,22819432,8721,65525,16377108,6260,21792,5446547,2082,178594,44643087,552381,148.8,3,2021-01-05T00:00:00.000
Tempe,, , ,2021,1,6, ,335200.52,48326.84,66455.86,264.94,2206.17,403.24,95772,23942904,9150,66776,16689725,6380,22185,5544841,2120,184732,46177470,563850,155.766,4,2021-01-06T00:00:00.000
Tempe,, , ,2021,1,7, ,334423,51015.2,67054.37,267.71,2213.46,404.57,95549,23887367,9129,67377,16840034,6437,22417,5602738,2142,185343,46330138,568563,153.894,5,2021-01-07T00:00:00.000
Tempe,, , ,2021,1,8, ,333576.4,43519.23,64228.62,267.89,2176.84,397.88,95308,23826895,9106,64538,16130376,6166,22432,5606534,2143,182277,45563805,545876,157.483,6,2021-01-08T00:00:00.000
Tempe,, , ,2021,1,9, ,324829.7,53618.04,59424.42,269.19,2090.65,382.12,92808,23202131,8867,59711,14923849,5705,22540,5633710,2154,175060,43759690,506603,147.265,7,2021-01-09T00:00:00.000
Tempe,, , ,2021,1,10, ,315048.9,54795.49,60741.32,265.97,2069.85,378.32,90014,22503502,8600,61034,15254576,5831,22271,5566231,2128,173318,43324309,516199,141.318,1,2021-01-10T00:00:00.000
Tempe,, , ,2021,1,11, ,326343.67,53248.97,62196.5,280.09,2139.98,391.14,93241,23310272,8908,62496,15620030,5971,23453,5861864,2241,179190,44792166,528926,148.293,2,2021-01-11T00:00:00.000
Tempe,, , ,2021,1,12, ,336041,53364.6,60070.83,285.13,2152.6,393.45,96012,24002938,9173,60360,15086190,5767,23875,5967319,2281,180247,45056446,512852,153.486,3,2021-01-12T00:00:00.000
Tempe,, , ,2021,1,13, ,331157.7,50912.56,58039.62,291.35,2117.79,387.09,94616,23654131,9040,58319,14576070,5572,24396,6097546,2331,177332,44327746,496134,152.174,4,2021-01-13T00:00:00.000
Tempe,, , ,2021,1,14, ,341691.73,50333.4,66696.82,267.78,2234.04,408.33,97626,24406562,9327,67018,16750238,6403,22422,5604135,2142,187066,46760934,566401,158.208,5,2021-01-14T00:00:00.000
Tempe,, , ,2021,1,15, ,347233.67,53565.32,82211.31,247.11,2418.46,442.04,99210,24802415,9478,82607,20646548,7892,20692,5171700,1977,202509,50620664,691046,159.454,6,2021-01-15T00:00:00.000
Tempe,, , ,2021,1,16, ,343742.62,52575.35,75316.91,244.27,2320.97,424.22,98212,24553054,9383,75680,18915089,7230,20454,5112188,1954,194346,48580332,635556,158.104,7,2021-01-16T00:00:00.000
Tempe,, , ,2021,1,17, ,330314.07,54874.27,80141.56,237.91,2326.68,425.26,94375,23593872,9017,80527,20126751,7694,19921,4978995,1903,194824,48699617,672863,149.563,1,2021-01-17T00:00:00.000
Tempe,, , ,2021,1,18, ,330108.25,49599.25,73038.89,257.08,2259.92,413.06,94317,23579170,9011,73391,18342988,7012,21526,5380244,2057,189234,47302402,616024,152.312,2,2021-01-18T00:00:00.000
Tempe,, , ,2021,1,19, ,352206.3,28874.17,82988.47,214.93,2412.57,440.96,100630,25157603,9614,83388,20841724,7967,17997,4498119,1719,202015,50497446,697738,175.577,3,2021-01-19T00:00:00.000
Tempe,, , ,2021,1,20, ,360743.38,53961.72,93855.84,204.9,2562.08,468.28,103070,25767394,9847,94308,23570956,9010,17157,4288185,1639,214534,53626535,785495,166.588,4,2021-01-20T00:00:00.000
Tempe,, , ,2021,1,21, ,368173.22,45706.02,88750.44,193.15,2514.42,459.58,105192,26298098,10050,89178,22288786,8520,16174,4042364,1545,210544,52629247,745364,175.118,5,2021-01-21T00:00:00.000
Tempe,, , ,2021,1,22, ,354465.57,38005.55,81027.35,204.72,2386.54,436.2,101276,25318980,9676,81418,20349208,7779,17142,4284546,1638,199836,49952734,682265,171.843,6,2021-01-22T00:00:00.000
Tempe,, , ,2021,1,23, ,309162.53,21696.17,62695.22,208.3,2015.55,368.4,88332,22083046,8439,62997,15745278,6019,17442,4359329,1666,168771,42187653,531259,156.098,7,2021-01-23T00:00:00.000
Tempe,, , ,2021,1,24, ,297178.48,21820.49,48591.13,239.1,1836.21,335.62,84908,21227042,8112,48825,12203177,4665,20021,5004013,1913,153754,38434232,417280,149.511,1,2021-01-24T00:00:00.000
Tempe,, , ,2021,1,25, ,325112.83,15393.7,44775.95,292.58,1939.22,354.45,92889,23222354,8875,44992,11245031,4298,24499,6123174,2341,162380,40590559,389445,168.182,2,2021-01-25T00:00:00.000
Tempe,, , ,2021,1,26, ,327321.48,27680.69,42510.48,317.83,1944.83,355.48,93520,23380115,8935,42715,10676081,4081,26614,6651751,2543,162849,40707947,371536,162.697,3,2021-01-26T00:00:00.000
Tempe,, , ,2021,1,27, ,330586.93,54409.31,48809.08,306.9,2020.62,369.33,94453,23613361,9024,49044,12257911,4686,25698,6422999,2455,169196,42294272,422237,149.966,4,2021-01-27T00:00:00.000
Tempe,, , ,2021,1,28, ,340022.55,45981.33,67702.57,259.92,2232.55,408.06,97149,24287335,9282,68029,17002823,6499,21764,5439611,2079,186942,46729768,574286,159.676,5,2021-01-28T00:00:00.000
Tempe,, , ,2021,1,29, ,332064.05,34643.53,65660.01,246.44,2167.41,396.15,94875,23718870,9064,65976,16489856,6303,20636,5157664,1972,181487,45366390,557180,161.497,6,2021-01-29T00:00:00.000
Tempe,, , ,2021,1,30, ,308913.42,63167.62,56126.51,246.68,1974.26,360.85,88261,22065253,8432,56397,14095612,5388,20656,5162638,1973,165313,41323504,478690,133.441,7,2021-01-30T00:00:00.000
Tempe,, , ,2021,1,31, ,318886.4,60649.84,70474.1,243.75,2177.53,398,91110,22777609,8705,70813,17698865,6766,20411,5101396,1950,182335,45577871,594427,140.224,1,2021-01-31T00:00:00.000
Tempe,, , ,2021,2,1, ,353757.25,20374.05,83041.53,235.11,2438.68,445.73,101074,25268385,9657,83441,20855050,7972,19687,4920489,1881,204202,51043924,698313,181.022,2,2021-02-01T00:00:00.000
Tempe,, , ,2021,2,2, ,371727.97,57364.08,102169.13,194.23,2688.65,491.42,106208,26552009,10147,102661,25658757,9808,16264,4064921,1554,225133,56275687,853055,170.696,3,2021-02-02T00:00:00.000
Tempe,, , ,2021,2,3, ,385871.77,51123.2,109228.26,181.59,2808.98,513.41,110249,27562281,10533,109754,27431584,10486,15205,3800388,1453,235209,58794253,910884,181.759,4,2021-02-03T00:00:00.000
Tempe,, , ,2021,2,4, ,364384.08,64477.76,94244.35,218.42,2592.69,473.88,104110,26027444,9947,94698,23668526,9047,18290,4571276,1747,217098,54267246,788954,162.852,5,2021-02-04T00:00:00.000
Tempe,, , ,2021,2,5, ,342758.15,64705.77,73949.6,244.72,2301.65,420.69,97931,24482735,9356,74306,18571701,7099,20491,5121531,1958,192728,48175967,624523,150.989,6,2021-02-05T00:00:00.000
Tempe,, , ,2021,2,6, ,325152.7,64579.65,71595.19,239.44,2208.05,403.58,92901,23225202,8876,71940,17980415,6873,20049,5011041,1915,184890,46216658,603997,141.491,7,2021-02-06T00:00:00.000
Tempe,, , ,2021,2,7, ,319353.75,65301.86,72162.5,238.39,2194.02,401.01,91244,22810991,8717,72510,18122891,6928,19961,4989074,1907,183715,45922956,607979,137.958,1,2021-02-07T00:00:00.000
Tempe,, , ,2021,2,8, ,354320.55,64974.31,81898.26,241.52,2433.29,444.75,101234,25308621,9672,82293,20567930,7862,20223,5054525,1932,203750,50931075,689222,157.122,2,2021-02-08T00:00:00.000
Tempe,, , ,2021,2,9, ,352544.12,47662.85,81810.71,238.78,2423.44,442.95,100727,25181733,9623,82205,20545942,7854,19994,4997250,1910,202926,50724925,688350,165.549,3,2021-02-09T00:00:00.000
Tempe,, , ,2021,2,10, ,358470.37,60776.82,86964.86,222.49,2489.22,454.97,102420,25605037,9785,87384,21840354,8349,18630,4656366,1780,208434,52101757,730151,161.653,4,2021-02-10T00:00:00.000
Tempe,, , ,2021,2,11, ,360602.57,65737.91,84053.64,226.31,2465.38,450.61,103029,25757337,9843,84458,21109231,8069,18950,4736251,1810,206437,51602818,707066,160.112,5,2021-02-11T00:00:00.000
Tempe,, , ,2021,2,12, ,365462.08,60186.08,84651.89,217.09,2479.92,453.27,104418,26104444,9976,85059,21259475,8127,18178,4543348,1737,207655,51907267,712318,165.772,6,2021-02-12T00:00:00.000
Tempe,, , ,2021,2,13, ,343023.75,47208.28,71757.41,220.37,2251.9,411.6,98007,24501706,9364,72103,18021155,6889,18452,4611944,1763,188562,47134805,607009,160.63,7,2021-02-13T00:00:00.000
Tempe,, , ,2021,2,14, ,319895.15,71921.9,66614.35,239,2129.9,389.3,91399,22849663,8732,66935,16729527,6395,20013,5001893,1912,178346,44581083,563646,134.641,1,2021-02-14T00:00:00.000
Tempe,, , ,2021,2,15, ,319756.42,62049.2,60698.72,260.87,2080.31,380.23,91359,22839754,8728,60991,15243877,5827,21844,5459594,2087,174194,43543224,516310,139.94,2,2021-02-15T00:00:00.000
Tempe,, , ,2021,2,16, ,338654.35,61738.73,66750.8,239.78,2196.33,401.44,96758,24189606,9244,67072,16763796,6408,20078,5018212,1918,183908,45971614,566538,150.37,3,2021-02-16T00:00:00.000
