campus,bldgno,bldgname,tstamp,Year,Month,Day,Hour,KW,KWS,CHWTON,HTmmBTU,Combined Tons Carbon,KW#Houses,KWlightbulbs,KWgalsgas,CHWTON#Houses,CHWTONlightbulbs,CHWTONgalsgas,HTmmBTU#Houses,HTmmBTUlightbulbs,HTmmBTUgalsgas,Total#Houses,Totallightbulbs,Totalgalsgas,GHG,DOW,tstamp2,total
All Campuses,, , ,2020,1,1, ,464831.83,58573.81,57817.82,285.5,468.91,132809,33202287,12689,58096,14520368,5551,23906,5974986,2284,214811,53697641,507192,220.599,4,2020-01-01T00:00:00.000,285.5
All Campuses,, , ,2020,1,2, ,502057.04,77651.4,67689.06,289.91,514.58,143445,35861231,13705,68015,16999431,6498,24276,6067438,2319,235736,58928100,589736,230.448,5,2020-01-02T00:00:00.000,289.91
All Campuses,, , ,2020,1,3, ,517700.37,77010.33,72457.59,309.67,538.41,147914,36978613,14132,72806,18197000,6956,25930,6480989,2477,246651,61656601,629388,239.29,6,2020-01-03T00:00:00.000,309.67
All Campuses,, , ,2020,1,4, ,456892.61,82609.57,72502.83,281.57,495.44,130541,32635199,12472,72852,18208361,6960,23577,5892774,2253,226970,56736334,623909,203.235,7,2020-01-04T00:00:00.000,281.57
All Campuses,, , ,2020,1,5, ,468037.98,84631.24,73036.79,270.13,501.47,133725,33431298,12776,73388,18342460,7012,22619,5653323,2161,229733,57427080,629250,208.196,1,2020-01-05T00:00:00.000,270.13
All Campuses,, , ,2020,1,6, ,518371.12,86219.73,82572.62,288.3,557.1,148106,37026523,14150,82970,20737288,7927,24141,6033622,2306,255217,63797434,710370,234.66,2,2020-01-06T00:00:00.000,288.3
All Campuses,, , ,2020,1,7, ,522513.44,81056.98,95535.03,280.63,586.71,149290,37322404,14263,95995,23992666,9171,23499,5873201,2245,268783,67188271,814466,239.715,3,2020-01-07T00:00:00.000,280.63
All Campuses,, , ,2020,1,8, ,496482.78,79107.88,82513.55,270.78,540.12,141852,35463070,13552,82911,20722453,7921,22674,5666958,2166,247437,61852481,707794,226.638,4,2020-01-08T00:00:00.000,270.78
All Campuses,, , ,2020,1,9, ,503885.11,59004.52,76763.99,290.95,535.81,143967,35991808,13755,77134,19278508,7369,24363,6089128,2328,245463,61359444,662511,241.566,5,2020-01-09T00:00:00.000,290.95
All Campuses,, , ,2020,1,10, ,532069,83968.84,78703.92,292.87,558,152020,38004944,14524,79083,19765702,7556,24523,6129223,2343,255626,63899868,680736,243.321,6,2020-01-10T00:00:00.000,292.87
